mimes              files      size         share
---------------  -------  --------  ------------
image/jpeg            96  47664148   63.9901
image/png             62  22067410   29.626
video/quicktime        1   4204463    5.64458
text/html             14    527854    0.708655
image/x-icon           1     15403    0.0206788
image/svg+xml          2      6072    0.00815179
text/plain             1      1401    0.00188087
#total               177  74486751  100
